collected_at,metric_timestamp,metric_name,service,instance,labels,value,network_topology,cluster_nodes,load_rps
2026-07-24T19:58:41.610717+00:00,2026-07-24T19:58:41.614000+00:00,process_cpu_usage,customers-service,10.42.0.186:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.0.186:8080', 'job': 'spring-petclinic'}",0.000336417157275021,same_network,3,240
2026-07-24T19:58:41.610717+00:00,2026-07-24T19:58:41.614000+00:00,process_cpu_usage,api-gateway,10.42.0.187:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.0.187:8080', 'job': 'spring-petclinic'}",0.0007580224037732671,same_network,3,240
2026-07-24T19:58:41.610717+00:00,2026-07-24T19:58:41.614000+00:00,process_cpu_usage,visits-service,10.42.1.122:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.122:8080', 'job': 'spring-petclinic'}",0.003532150598057317,same_network,3,240
2026-07-24T19:58:41.610717+00:00,2026-07-24T19:58:41.614000+00:00,process_cpu_usage,vets-service,10.42.1.123:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.123:8080', 'job': 'spring-petclinic'}",0.00281214848143982,same_network,3,240
2026-07-24T19:58:41.610717+00:00,2026-07-24T19:58:41.614000+00:00,process_cpu_usage,vets-service,10.42.1.124:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.124:8080', 'job': 'spring-petclinic'}",0.0003933291378225299,same_network,3,240
2026-07-24T19:58:41.610717+00:00,2026-07-24T19:58:41.614000+00:00,process_cpu_usage,visits-service,10.42.1.125:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.125:8080', 'job': 'spring-petclinic'}",0.0002362762857367882,same_network,3,240
2026-07-24T19:58:41.610717+00:00,2026-07-24T19:58:41.614000+00:00,process_cpu_usage,customers-service,10.42.1.126:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.126:8080', 'job': 'spring-petclinic'}",0.0003902895948794005,same_network,3,240
2026-07-24T19:58:41.610717+00:00,2026-07-24T19:58:41.617000+00:00,system_cpu_usage,customers-service,10.42.0.186:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.0.186:8080', 'job': 'spring-petclinic'}",0.0003480151387720774,same_network,3,240
2026-07-24T19:58:41.610717+00:00,2026-07-24T19:58:41.617000+00:00,system_cpu_usage,api-gateway,10.42.0.187:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.0.187:8080', 'job': 'spring-petclinic'}",0.0007769917466734041,same_network,3,240
2026-07-24T19:58:41.610717+00:00,2026-07-24T19:58:41.617000+00:00,system_cpu_usage,visits-service,10.42.1.122:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.122:8080', 'job': 'spring-petclinic'}",0.0034645124006742116,same_network,3,240
2026-07-24T19:58:41.610717+00:00,2026-07-24T19:58:41.617000+00:00,system_cpu_usage,vets-service,10.42.1.123:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.123:8080', 'job': 'spring-petclinic'}",0.002871504097702073,same_network,3,240
