collected_at,metric_timestamp,metric_name,service,instance,labels,value,network_topology,cluster_nodes,load_rps
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.567000+00:00,process_cpu_usage,customers-service,10.42.0.156:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.0.156:8080', 'job': 'spring-petclinic'}",0.000506799560773714,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.567000+00:00,process_cpu_usage,api-gateway,10.42.0.157:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.0.157:8080', 'job': 'spring-petclinic'}",0.0004224757076468103,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.567000+00:00,process_cpu_usage,customers-service,10.42.0.158:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.0.158:8080', 'job': 'spring-petclinic'}",0.0005070993914807302,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.567000+00:00,process_cpu_usage,vets-service,10.42.1.90:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.90:8080', 'job': 'spring-petclinic'}",0.00048756704046806434,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.567000+00:00,process_cpu_usage,visits-service,10.42.1.91:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.91:8080', 'job': 'spring-petclinic'}",0.0004897959183673469,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.567000+00:00,process_cpu_usage,visits-service,10.42.1.92:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.92:8080', 'job': 'spring-petclinic'}",0.00057161522129675,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.567000+00:00,process_cpu_usage,vets-service,10.42.1.93:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.93:8080', 'job': 'spring-petclinic'}",0.00032565334201742243,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.573000+00:00,system_cpu_usage,customers-service,10.42.0.156:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.0.156:8080', 'job': 'spring-petclinic'}",0.0004765605203142157,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.573000+00:00,system_cpu_usage,api-gateway,10.42.0.157:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.0.157:8080', 'job': 'spring-petclinic'}",0.0004460706439073855,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.573000+00:00,system_cpu_usage,customers-service,10.42.0.158:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.0.158:8080', 'job': 'spring-petclinic'}",0.0004958333333333334,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.573000+00:00,system_cpu_usage,vets-service,10.42.1.90:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.90:8080', 'job': 'spring-petclinic'}",0.0004856915325857305,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.573000+00:00,system_cpu_usage,visits-service,10.42.1.91:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.91:8080', 'job': 'spring-petclinic'}",0.00045591625173455226,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.573000+00:00,system_cpu_usage,visits-service,10.42.1.92:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.92:8080', 'job': 'spring-petclinic'}",0.0005667393612676632,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.573000+00:00,system_cpu_usage,vets-service,10.42.1.93:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.93:8080', 'job': 'spring-petclinic'}",0.00037866411592315206,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.579000+00:00,process_uptime_seconds,customers-service,10.42.0.156:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.0.156:8080', 'job': 'spring-petclinic'}",1941.483,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.579000+00:00,process_uptime_seconds,api-gateway,10.42.0.157:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.0.157:8080', 'job': 'spring-petclinic'}",1944.53,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.579000+00:00,process_uptime_seconds,customers-service,10.42.0.158:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.0.158:8080', 'job': 'spring-petclinic'}",1766.423,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.579000+00:00,process_uptime_seconds,vets-service,10.42.1.90:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.90:8080', 'job': 'spring-petclinic'}",1266.837,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.579000+00:00,process_uptime_seconds,visits-service,10.42.1.91:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.91:8080', 'job': 'spring-petclinic'}",1271.355,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.579000+00:00,process_uptime_seconds,visits-service,10.42.1.92:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.92:8080', 'job': 'spring-petclinic'}",1138.936,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.579000+00:00,process_uptime_seconds,vets-service,10.42.1.93:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.93:8080', 'job': 'spring-petclinic'}",1135.894,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.584000+00:00,system_load_average_1m,customers-service,10.42.0.156:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.0.156:8080', 'job': 'spring-petclinic'}",0.8125,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.584000+00:00,system_load_average_1m,api-gateway,10.42.0.157:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.0.157:8080', 'job': 'spring-petclinic'}",0.7470703125,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.584000+00:00,system_load_average_1m,customers-service,10.42.0.158:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.0.158:8080', 'job': 'spring-petclinic'}",0.7470703125,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.584000+00:00,system_load_average_1m,vets-service,10.42.1.90:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.1.90:8080', 'job': 'spring-petclinic'}",0.33203125,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.584000+00:00,system_load_average_1m,visits-service,10.42.1.91:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.1.91:8080', 'job': 'spring-petclinic'}",0.30517578125,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.584000+00:00,system_load_average_1m,visits-service,10.42.1.92:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.1.92:8080', 'job': 'spring-petclinic'}",0.33203125,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.584000+00:00,system_load_average_1m,vets-service,10.42.1.93:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.1.93:8080', 'job': 'spring-petclinic'}",0.30517578125,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.590000+00:00,jvm_memory_used_bytes,api-gateway,10.42.0.157:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'Eden Space', 'instance': '10.42.0.157:8080', 'job': 'spring-petclinic'}",4540752,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.590000+00:00,jvm_memory_used_bytes,customers-service,10.42.0.156:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Eden Space', 'instance': '10.42.0.156:8080', 'job': 'spring-petclinic'}",79691776,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.590000+00:00,jvm_memory_used_bytes,customers-service,10.42.0.158:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Eden Space', 'instance': '10.42.0.158:8080', 'job': 'spring-petclinic'}",58720256,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.590000+00:00,jvm_memory_used_bytes,vets-service,10.42.1.90:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Eden Space', 'instance': '10.42.1.90:8080', 'job': 'spring-petclinic'}",54525952,same_network,3,6
2026-07-22T21:35:18.560759+00:00,2026-07-22T21:35:18.590000+00:00,jvm_memory_used_bytes,visits-service,10.42.1.91:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Eden Space', 'instance': '10.42.1.91:8080', 'job': 'spring-petclinic'}",138412032,same_network,3,6
