collected_at,trace_id,start_timestamp,total_duration_ms,spans_count,unique_services_count,services_list,has_error,root_http_method,root_http_path,root_http_status,db_query_count,db_total_duration_ms,internal_calls_count
2026-07-31T15:24:35.000095+00:00,95d985426464df9e,2026-07-31T15:24:34.722804+00:00,96.67,2,1,api-gateway,False,GET,/api/customer/owners,200,0,0.0,1
2026-07-31T15:25:35.939645+00:00,a12af7bc911e86c7,2026-07-31T15:25:37.285744+00:00,170.628,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,167.833,1
2026-07-31T15:25:35.939645+00:00,4c3808b87851f251,2026-07-31T15:25:37.279209+00:00,39.577,3,2,visits-service|api-gateway,False,GET,/api/visit/owners/1/pets/1/visits,200,0,0.0,1
2026-07-31T15:25:35.939645+00:00,f5112ce6b2e2be35,2026-07-31T15:25:37.267665+00:00,173.768,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,174.492,1
2026-07-31T15:25:35.939645+00:00,d6fcc71ed34bc300,2026-07-31T15:25:37.251021+00:00,27.853,3,2,visits-service|api-gateway,False,GET,/api/visit/owners/1/pets/1/visits,200,0,0.0,1
2026-07-31T15:25:35.939645+00:00,2df1f8b629859a34,2026-07-31T15:25:37.240444+00:00,173.861,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,171.778,1
2026-07-31T15:25:35.939645+00:00,711c79f007dbab72,2026-07-31T15:25:37.223336+00:00,176.332,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,173.676,1
2026-07-31T15:25:35.939645+00:00,3570fb6410f2a7ba,2026-07-31T15:25:37.211640+00:00,29.805,3,2,visits-service|api-gateway,False,GET,/api/visit/owners/1/pets/1/visits,200,0,0.0,1
2026-07-31T15:25:35.939645+00:00,02b044ebfb53bbf4,2026-07-31T15:25:37.200153+00:00,187.943,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,188.398,1
2026-07-31T15:25:35.939645+00:00,49b51b2286e4c6ea,2026-07-31T15:25:37.184531+00:00,202.175,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,197.567,1
2026-07-31T15:25:35.939645+00:00,e5ddc39477495d0b,2026-07-31T15:25:37.150325+00:00,209.995,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,180.453,1
2026-07-31T15:25:35.939645+00:00,765ce1eba14cc914,2026-07-31T15:25:37.173040+00:00,187.959,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,180.083,1
2026-07-31T15:25:35.939645+00:00,418d807d0412d84b,2026-07-31T15:25:37.179401+00:00,178.675,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,179.52,1
2026-07-31T15:25:35.939645+00:00,a6b3e8affbf41a35,2026-07-31T15:25:37.128138+00:00,219.668,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,223.254,1
2026-07-31T15:25:35.939645+00:00,7a0b4b5daaa5b22a,2026-07-31T15:25:37.122419+00:00,212.241,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,212.618,1
2026-07-31T15:25:35.939645+00:00,24dd647650994e74,2026-07-31T15:25:37.117045+00:00,206.26,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,209.015,1
2026-07-31T15:25:35.939645+00:00,d057daffee0a9ba9,2026-07-31T15:25:38.254057+00:00,15.771,3,2,visits-service|api-gateway,False,GET,/api/visit/owners/1/pets/1/visits,200,0,0.0,1
2026-07-31T15:25:35.939645+00:00,99a4fce04c9755cf,2026-07-31T15:25:38.232406+00:00,12.027,3,2,visits-service|api-gateway,False,GET,/api/visit/owners/1/pets/1/visits,200,0,0.0,1
2026-07-31T15:25:35.939645+00:00,e4d095e0f7b5e512,2026-07-31T15:25:38.212323+00:00,29.026,3,2,visits-service|api-gateway,False,GET,/api/visit/owners/1/pets/1/visits,200,0,0.0,1
2026-07-31T15:25:35.939645+00:00,64133c8b4625f902,2026-07-31T15:25:37.066971+00:00,248.919,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,235.247,1
2026-07-31T15:25:35.939645+00:00,74387dcecbda239e,2026-07-31T15:25:37.056884+00:00,257.956,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,246.909,1
2026-07-31T15:25:35.939645+00:00,f1e9182676f5386e,2026-07-31T15:25:38.191127+00:00,24.791,1,1,api-gateway,False,,,200,0,0.0,1
2026-07-31T15:25:35.939645+00:00,1e3eadda5c318f0b,2026-07-31T15:25:37.050784+00:00,237.395,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,241.087,1
2026-07-31T15:25:35.939645+00:00,24b14f5442d569d5,2026-07-31T15:25:37.044518+00:00,27.91,3,2,visits-service|api-gateway,False,GET,/api/visit/owners/1/pets/1/visits,200,0,0.0,1
2026-07-31T15:25:35.939645+00:00,156aa933555e41d3,2026-07-31T15:25:37.039668+00:00,240.208,4,2,vets-service|api-gateway,False,GET,/api/vet/vets,200,1,243.479,1
2026-07-31T15:25:35.939645+00:00,de88f14826ca00d6,2026-07-31T15:25:37.034148+00:00,29.005,3,2,visits-service|api-gateway,False,GET,/api/visit/owners/1/pets/1/visits,200,0,0.0,1
2026-07-31T15:25:35.939645+00:00,9b7091e5b9ffd9ec,2026-07-31T15:25:38.167616+00:00,24.965,2,1,api-gateway,False,GET,/api/visit/owners/1/pets/1/visits,200,0,0.0,1
2026-07-31T15:25:35.939645+00:00,6e19b7eef81c284a,2026-07-31T15:25:38.156834+00:00,21.8,2,1,api-gateway,False,GET,/api/visit/owners/1/pets/1/visits,200,0,0.0,1
2026-07-31T15:25:35.939645+00:00,d864cdefcc372677,2026-07-31T15:25:38.152717+00:00,35.052,3,2,visits-service|api-gateway,False,GET,/api/visit/owners/1/pets/1/visits,200,0,0.0,1
