collected_at,metric_timestamp,metric_name,service,instance,labels,value,network_topology,cluster_nodes,load_rps
2026-07-31T22:02:08.524575+00:00,2026-07-31T22:02:08.530000+00:00,process_cpu_usage,customers-service,10.42.0.248:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.0.248:8080', 'job': 'spring-petclinic'}",0.0003367003367003367,distributed,3,240
2026-07-31T22:02:08.524575+00:00,2026-07-31T22:02:08.530000+00:00,process_cpu_usage,api-gateway,10.42.0.249:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.0.249:8080', 'job': 'spring-petclinic'}",0.0002525252525252525,distributed,3,240
2026-07-31T22:02:08.524575+00:00,2026-07-31T22:02:08.530000+00:00,process_cpu_usage,customers-service,10.42.0.250:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.0.250:8080', 'job': 'spring-petclinic'}",0.00042140750105351877,distributed,3,240
2026-07-31T22:02:08.524575+00:00,2026-07-31T22:02:08.530000+00:00,process_cpu_usage,vets-service,10.42.1.176:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.176:8080', 'job': 'spring-petclinic'}",0.0003105107902499612,distributed,3,240
2026-07-31T22:02:08.524575+00:00,2026-07-31T22:02:08.530000+00:00,process_cpu_usage,visits-service,10.42.1.178:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.178:8080', 'job': 'spring-petclinic'}",0.00038255547054322876,distributed,3,240
2026-07-31T22:02:08.524575+00:00,2026-07-31T22:02:08.530000+00:00,process_cpu_usage,visits-service,10.42.1.179:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.179:8080', 'job': 'spring-petclinic'}",0.0003102218085931441,distributed,3,240
2026-07-31T22:02:08.524575+00:00,2026-07-31T22:02:08.530000+00:00,process_cpu_usage,vets-service,10.42.1.180:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.180:8080', 'job': 'spring-petclinic'}",0.0003104384943733023,distributed,3,240
2026-07-31T22:02:08.524575+00:00,2026-07-31T22:02:08.532000+00:00,system_cpu_usage,customers-service,10.42.0.248:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.0.248:8080', 'job': 'spring-petclinic'}",0.0003727502315009681,distributed,3,240
2026-07-31T22:02:08.524575+00:00,2026-07-31T22:02:08.532000+00:00,system_cpu_usage,api-gateway,10.42.0.249:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.0.249:8080', 'job': 'spring-petclinic'}",0.00029494107744107743,distributed,3,240
2026-07-31T22:02:08.524575+00:00,2026-07-31T22:02:08.532000+00:00,system_cpu_usage,customers-service,10.42.0.250:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.0.250:8080', 'job': 'spring-petclinic'}",0.00043728613569321535,distributed,3,240
2026-07-31T22:02:08.524575+00:00,2026-07-31T22:02:08.532000+00:00,system_cpu_usage,vets-service,10.42.1.176:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.176:8080', 'job': 'spring-petclinic'}",0.0003253920198726906,distributed,3,240
2026-07-31T22:02:08.524575+00:00,2026-07-31T22:02:08.532000+00:00,system_cpu_usage,visits-service,10.42.1.178:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.178:8080', 'job': 'spring-petclinic'}",0.00031788523335883704,distributed,3,240
