collected_at,metric_timestamp,metric_name,service,instance,labels,value,network_topology,cluster_nodes,load_rps
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.333000+00:00,process_cpu_usage,customers-service,10.42.0.186:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.0.186:8080', 'job': 'spring-petclinic'}",0.00033823778116015557,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.333000+00:00,process_cpu_usage,api-gateway,10.42.0.187:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.0.187:8080', 'job': 'spring-petclinic'}",0.000253613999492772,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.333000+00:00,process_cpu_usage,visits-service,10.42.1.122:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.122:8080', 'job': 'spring-petclinic'}",0.00033428046130703663,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.333000+00:00,process_cpu_usage,vets-service,10.42.1.123:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.123:8080', 'job': 'spring-petclinic'}",0.00033425252778474136,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.333000+00:00,process_cpu_usage,vets-service,10.42.1.124:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.124:8080', 'job': 'spring-petclinic'}",0.00033264033264033264,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.333000+00:00,process_cpu_usage,visits-service,10.42.1.125:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.125:8080', 'job': 'spring-petclinic'}",0.0003331945022907122,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.333000+00:00,process_cpu_usage,customers-service,10.42.1.126:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.126:8080', 'job': 'spring-petclinic'}",0.000333555703802535,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.333000+00:00,process_cpu_usage,api-gateway,10.42.1.134:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.134:8080', 'job': 'spring-petclinic'}",0.004360221365084689,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.335000+00:00,system_cpu_usage,customers-service,10.42.0.186:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.0.186:8080', 'job': 'spring-petclinic'}",0.0004202840957131986,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.335000+00:00,system_cpu_usage,api-gateway,10.42.0.187:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.0.187:8080', 'job': 'spring-petclinic'}",0.0003208893397582213,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.335000+00:00,system_cpu_usage,visits-service,10.42.1.122:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.122:8080', 'job': 'spring-petclinic'}",0.0003221011282908483,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.335000+00:00,system_cpu_usage,vets-service,10.42.1.123:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.123:8080', 'job': 'spring-petclinic'}",0.0003269257123756998,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.335000+00:00,system_cpu_usage,vets-service,10.42.1.124:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.124:8080', 'job': 'spring-petclinic'}",0.00029462952182952184,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.335000+00:00,system_cpu_usage,visits-service,10.42.1.125:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.125:8080', 'job': 'spring-petclinic'}",0.00036155531489503496,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.335000+00:00,system_cpu_usage,customers-service,10.42.1.126:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.126:8080', 'job': 'spring-petclinic'}",0.00034134650658662667,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.335000+00:00,system_cpu_usage,api-gateway,10.42.1.134:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.134:8080', 'job': 'spring-petclinic'}",0.004492997652188495,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.338000+00:00,process_uptime_seconds,customers-service,10.42.0.186:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.0.186:8080', 'job': 'spring-petclinic'}",22663.166,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.338000+00:00,process_uptime_seconds,api-gateway,10.42.0.187:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.0.187:8080', 'job': 'spring-petclinic'}",22659.05,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.338000+00:00,process_uptime_seconds,visits-service,10.42.1.122:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.122:8080', 'job': 'spring-petclinic'}",27265.217,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.338000+00:00,process_uptime_seconds,vets-service,10.42.1.123:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.123:8080', 'job': 'spring-petclinic'}",27266.457,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.338000+00:00,process_uptime_seconds,vets-service,10.42.1.124:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.124:8080', 'job': 'spring-petclinic'}",27134.286,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.338000+00:00,process_uptime_seconds,visits-service,10.42.1.125:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.125:8080', 'job': 'spring-petclinic'}",27124.836,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.338000+00:00,process_uptime_seconds,customers-service,10.42.1.126:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.126:8080', 'job': 'spring-petclinic'}",27068.174,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.338000+00:00,process_uptime_seconds,api-gateway,10.42.1.134:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.134:8080', 'job': 'spring-petclinic'}",153.433,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.340000+00:00,system_load_average_1m,customers-service,10.42.0.186:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.0.186:8080', 'job': 'spring-petclinic'}",1.81884765625,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.340000+00:00,system_load_average_1m,api-gateway,10.42.0.187:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.0.187:8080', 'job': 'spring-petclinic'}",1.9775390625,same_network,3,300
2026-07-25T00:51:51.328839+00:00,2026-07-25T00:51:51.340000+00:00,system_load_average_1m,visits-service,10.42.1.122:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.1.122:8080', 'job': 'spring-petclinic'}",1.44873046875,same_network,3,300
