collected_at,metric_timestamp,metric_name,service,instance,labels,value,network_topology,cluster_nodes,load_rps
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.097000+00:00,process_cpu_usage,customers-service,10.42.0.176:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.0.176:8080', 'job': 'spring-petclinic'}",0.0003378093066463981,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.097000+00:00,process_cpu_usage,api-gateway,10.42.1.103:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.103:8080', 'job': 'spring-petclinic'}",0.00023464998044583498,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.097000+00:00,process_cpu_usage,vets-service,10.42.1.104:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.104:8080', 'job': 'spring-petclinic'}",0.0002332089552238806,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.097000+00:00,process_cpu_usage,visits-service,10.42.1.105:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.105:8080', 'job': 'spring-petclinic'}",0.00031208551143013184,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.097000+00:00,process_cpu_usage,customers-service,10.42.1.106:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.106:8080', 'job': 'spring-petclinic'}",0.00023391812865497077,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.097000+00:00,process_cpu_usage,vets-service,10.42.1.107:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.107:8080', 'job': 'spring-petclinic'}",0.0003892868265337901,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.097000+00:00,process_cpu_usage,visits-service,10.42.1.108:8080,"{'__name__': 'process_cpu_usage', 'instance': '10.42.1.108:8080', 'job': 'spring-petclinic'}",0.00046565774155995343,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.099000+00:00,system_cpu_usage,customers-service,10.42.0.176:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.0.176:8080', 'job': 'spring-petclinic'}",0.0003938360212783923,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.099000+00:00,system_cpu_usage,api-gateway,10.42.1.103:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.103:8080', 'job': 'spring-petclinic'}",0.00025682934459565147,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.099000+00:00,system_cpu_usage,vets-service,10.42.1.104:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.104:8080', 'job': 'spring-petclinic'}",0.00027721703980099503,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.099000+00:00,system_cpu_usage,visits-service,10.42.1.105:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.105:8080', 'job': 'spring-petclinic'}",0.0002815838339705079,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.099000+00:00,system_cpu_usage,customers-service,10.42.1.106:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.106:8080', 'job': 'spring-petclinic'}",0.00029393216374269004,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.099000+00:00,system_cpu_usage,vets-service,10.42.1.107:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.107:8080', 'job': 'spring-petclinic'}",0.00041554690541066564,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.099000+00:00,system_cpu_usage,visits-service,10.42.1.108:8080,"{'__name__': 'system_cpu_usage', 'instance': '10.42.1.108:8080', 'job': 'spring-petclinic'}",0.0004717656189367482,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.101000+00:00,process_uptime_seconds,customers-service,10.42.0.176:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.0.176:8080', 'job': 'spring-petclinic'}",22011.239,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.101000+00:00,process_uptime_seconds,api-gateway,10.42.1.103:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.103:8080', 'job': 'spring-petclinic'}",23362.012,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.101000+00:00,process_uptime_seconds,vets-service,10.42.1.104:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.104:8080', 'job': 'spring-petclinic'}",23368.256,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.101000+00:00,process_uptime_seconds,visits-service,10.42.1.105:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.105:8080', 'job': 'spring-petclinic'}",23364.322,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.101000+00:00,process_uptime_seconds,customers-service,10.42.1.106:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.106:8080', 'job': 'spring-petclinic'}",23364.117,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.101000+00:00,process_uptime_seconds,vets-service,10.42.1.107:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.107:8080', 'job': 'spring-petclinic'}",23238.333,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.101000+00:00,process_uptime_seconds,visits-service,10.42.1.108:8080,"{'__name__': 'process_uptime_seconds', 'instance': '10.42.1.108:8080', 'job': 'spring-petclinic'}",23237.499,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.105000+00:00,system_load_average_1m,customers-service,10.42.0.176:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.0.176:8080', 'job': 'spring-petclinic'}",0.43603515625,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.105000+00:00,system_load_average_1m,api-gateway,10.42.1.103:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.1.103:8080', 'job': 'spring-petclinic'}",0.388671875,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.105000+00:00,system_load_average_1m,vets-service,10.42.1.104:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.1.104:8080', 'job': 'spring-petclinic'}",0.4091796875,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.105000+00:00,system_load_average_1m,visits-service,10.42.1.105:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.1.105:8080', 'job': 'spring-petclinic'}",0.357421875,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.105000+00:00,system_load_average_1m,customers-service,10.42.1.106:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.1.106:8080', 'job': 'spring-petclinic'}",0.357421875,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.105000+00:00,system_load_average_1m,vets-service,10.42.1.107:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.1.107:8080', 'job': 'spring-petclinic'}",0.357421875,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.105000+00:00,system_load_average_1m,visits-service,10.42.1.108:8080,"{'__name__': 'system_load_average_1m', 'instance': '10.42.1.108:8080', 'job': 'spring-petclinic'}",0.4091796875,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,api-gateway,10.42.1.103:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'Eden Space', 'instance': '10.42.1.103:8080', 'job': 'spring-petclinic'}",6097464,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,customers-service,10.42.0.176:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Eden Space', 'instance': '10.42.0.176:8080', 'job': 'spring-petclinic'}",159383552,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,vets-service,10.42.1.104:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Eden Space', 'instance': '10.42.1.104:8080', 'job': 'spring-petclinic'}",117440512,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,visits-service,10.42.1.105:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Eden Space', 'instance': '10.42.1.105:8080', 'job': 'spring-petclinic'}",201326592,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,customers-service,10.42.1.106:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Eden Space', 'instance': '10.42.1.106:8080', 'job': 'spring-petclinic'}",58720256,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,vets-service,10.42.1.107:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Eden Space', 'instance': '10.42.1.107:8080', 'job': 'spring-petclinic'}",29360128,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,visits-service,10.42.1.108:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Eden Space', 'instance': '10.42.1.108:8080', 'job': 'spring-petclinic'}",155189248,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,customers-service,10.42.0.176:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Old Gen', 'instance': '10.42.0.176:8080', 'job': 'spring-petclinic'}",95484928,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,vets-service,10.42.1.104:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Old Gen', 'instance': '10.42.1.104:8080', 'job': 'spring-petclinic'}",82827264,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,visits-service,10.42.1.105:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Old Gen', 'instance': '10.42.1.105:8080', 'job': 'spring-petclinic'}",70702592,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,customers-service,10.42.1.106:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Old Gen', 'instance': '10.42.1.106:8080', 'job': 'spring-petclinic'}",111042048,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,vets-service,10.42.1.107:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Old Gen', 'instance': '10.42.1.107:8080', 'job': 'spring-petclinic'}",83720704,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,visits-service,10.42.1.108:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Old Gen', 'instance': '10.42.1.108:8080', 'job': 'spring-petclinic'}",72448512,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,customers-service,10.42.0.176:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Survivor Space', 'instance': '10.42.0.176:8080', 'job': 'spring-petclinic'}",7594544,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,vets-service,10.42.1.104:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Survivor Space', 'instance': '10.42.1.104:8080', 'job': 'spring-petclinic'}",6957520,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,visits-service,10.42.1.105:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Survivor Space', 'instance': '10.42.1.105:8080', 'job': 'spring-petclinic'}",8259376,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,customers-service,10.42.1.106:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Survivor Space', 'instance': '10.42.1.106:8080', 'job': 'spring-petclinic'}",7946944,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,vets-service,10.42.1.107:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Survivor Space', 'instance': '10.42.1.107:8080', 'job': 'spring-petclinic'}",6779936,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,visits-service,10.42.1.108:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'G1 Survivor Space', 'instance': '10.42.1.108:8080', 'job': 'spring-petclinic'}",8226288,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,api-gateway,10.42.1.103:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'Survivor Space', 'instance': '10.42.1.103:8080', 'job': 'spring-petclinic'}",1977224,same_network,3,120
2026-07-23T22:39:10.093238+00:00,2026-07-23T22:39:10.108000+00:00,jvm_memory_used_bytes,api-gateway,10.42.1.103:8080,"{'__name__': 'jvm_memory_used_bytes', 'area': 'heap', 'id': 'Tenured Gen', 'instance': '10.42.1.103:8080', 'job': 'spring-petclinic'}",51848584,same_network,3,120
